City,FAA,IATA,ICAO,Airport
"La Crosse, WISCONSIN",LSE,LSE,KLSE,La Crosse Regional Airport
"Madison, WISCONSIN",MSN,MSN,KMSN,Dane County Regional Airport (Truax Field)
"Milwaukee, WISCONSIN",MKE,MKE,KMKE,General Mitchell International Airport
"Wausau, WISCONSIN",CWA,CWA,KCWA,Central Wisconsin Airport
"Rhinelander, WISCONSIN",RHI,RHI,KRHI,Rhinelander-Oneida County Airport
"Casper, WYOMING",CPR,CPR,KCPR,Casper/Natrona County International Airport
"Cheyenne, WYOMING",CYS,CYS,KCYS,Cheyenne Regional Airport (Jerry Olson Field)
"Cody, WYOMING",COD,COD,KCOD,Yellowstone Regional Airport
"Gillette, WYOMING",GCC,GCC,KGCC,Gillette-Campbell County Airport
"Jackson, WYOMING",JAC,JAC,KJAC,Jackson Hole Airport
"Laramie, WYOMING",LAR,LAR,KLAR,Laramie Regional Airport
"Riverton, WYOMING",RIW,RIW,KRIW,Riverton Regional Airport
"Rock Springs, WYOMING",RKS,RKS,KRKS,Rock Springs ? Sweetwater County Airport
"Sheridan, WYOMING",SHR,SHR,KSHR,Sheridan County Airport
